symbol,date,open,high,low,close,adjusted_close,volume
GC=F,"Apr 03, 2019",1290.6,1292.6,1279.5,1289,1289,269
GC=F,"Apr 02, 2019",1291.4,1293.1,1287.5,1289.9,1289.9,172
GC=F,"Apr 01, 2019",1286.3,1290.9,1284.5,1290,1290,525
GC=F,"Mar 31, 2019",1291.8,1295.9,1285.7,1288.4,1288.4,675
GC=F,"Mar 28, 2019",1289.6,1298.5,1286.1,1293,1293,1265
GC=F,"Mar 27, 2019",1308.4,1311.1,1287.7,1289.8,1289.8,87798
GC=F,"Mar 26, 2019",1309.9,1309.9,1309.9,1309.9,1309.9,206263
GC=F,"Mar 25, 2019",1315.6,1315.6,1314.3,1314.3,1314.3,1
GC=F,"Mar 24, 2019",1320.7,1322.9,1320.7,1321.9,1321.9,19
GC=F,"Mar 21, 2019",1311.6,1311.6,1311.6,1311.6,1311.6,-
symbol,date,open,high,low,close,adjusted_close,volume
GC=F,"Mar 20, 2019",1306.1,1306.1,1306.1,1306.1,1306.1,-
GC=F,"Mar 19, 2019",1300.7,1300.7,1300.5,1300.5,1300.5,2
GC=F,"Mar 18, 2019",1306.9,1306.9,1304.8,1305,1305,20
GC=F,"Mar 17, 2019",1297.3,1302.2,1297.3,1300.3,1300.3,8
GC=F,"Mar 15, 2019",te,1304.7,blabl,bla,1301.8,26
GC=F,"Mar 14, 2019",1300.9,1304.7,1300.5,1301.8,1301.8,26
GC=F,"Mar 13, 2019",1293.4,1293.4,1293.4,1293.4,1293.4,1
GC=F,"Mar 12, 2019",1307.5,1307.5,1307.5,1307.5,1307.5,-
GC=F,"Mar 11, 2019",1294.7,1296.3,1294.7,1296.3,1296.3,1
GC=F,"Mar 10, 2019",1291,1291,1288.8,1288.8,1288.8,9
GC=F,"Mar 08, 2019",1292.1,1297.4,1291.6,1297,1297,10
GC=F,"Mar 07, 2019",1281,1284.6,1281,1283.8,1283.8,11
GC=F,,,,,,,
GC=F,"Mar 06, 2019",1287.1,1287.1,1282.6,1284.9,1284.9,14
GC=F,"Mar 05, 2019",1287,1287,1282,1282,1282,114
GC=F,"Mar 04, 2019",1285.5,1287,1281.9,1284.8,1284.8,28
GC=F,"Mar 01, 2019",1312.2,1312.2,1288.9,1296.4,1296.4,110
GC=F,"Feb 28, 2019",1321.1,1323.7,1311.5,1312.8,1312.8,141
GC=F,"Feb 27, 2019",1327.7,1327.9,1316.5,1317.7,1317.7,604
GC=F,"Feb 26, 2019",1323.3,1325.5,1323.3,1325.1,1325.1,939
GC=F,"Feb 25, 2019",1329.2,1331.6,1325.6,1325.9,1325.9,185
GC=F,02.24.2019,13329.2,1331.6,1325.6,1325.9,15325.9,185
GC=F,"Feb 22, 2019",1324.2,1331.3,1321,1329.2,1329.2,718
GC=F,"Feb 21, 2019",1331.3,1334.9,1320.9,1323.5,1323.5,414
GC=F,"Feb 20, 2019",1342.2,1344,1338,1343.3,1343.3,581
GC=F,"Feb 19, 2019",1320.9,1340.1,1320.5,1340.1,1340.1,390
GC=F,"Feb 15, 2019",1313.6,1318.8,1313.6,1318.1,1318.1,190
GC=F,"Feb 14, 2019",1305,1311.8,1301.6,1309.8,1309.8,858
GC=F,"Feb 13, 2019",1311.6,1316,1308.1,1310.8,1310.8,143
GC=F,"Feb 12, 2019",1310,1312,1307.6,1309.2,1309.2,109
GC=F,"Feb 11, 2019",1313.4,1313.4,1304.7,1307,1307,119
GC=F,"Feb 11, 2019",1313.4,1313.4,1304.7,1307,1307,119
GC=F,"Feb 08, 2019",1309.5,1314,1307.8,1313.7,1313.7,122
GC=F,"Feb 07, 2019",1302.9,1310.4,1302.2,1309.4,1309.4,203
GC=F,"Feb 06, 2019",1312.5,1313.5,1305,1309.5,1309.5,358
GC=F,"Feb 05, 2019",1311.1,1315.1,1311,1314.2,1314.2,362
GC=F,"Feb 04, 2019",1318.1,1318.1,1308.3,1314.3,1314.3,675
GC=F,"Feb 02, 2019",13a20.3,1320.7,134f15.4,1316.9,1aa316.9,878
GC=F,"Feb 01, 2019",1320.3,1320.7,1315.4,1316.9,1316.9,878
GC=F,"Jan 31, 2019",1320,1325.4,1316.7,1319.7,1319.7,1970
GC=F,"Jan 30, 2019",1310.4,1323.4,1308.1,1309.9,1309.9,54958
GC=F,"Jan 29, 2019",1308.2,1308.2,1308.2,1308.2,1308.2,213607
GC=F,"Jan 28, 2019",1300.8,1307.1,1298.4,1302.4,1302.4,54
YXZ,"Jan 26, 2019",1297.4,1297.4,1297.4,1297.4,1297.4,-
GC=F,"Jan 25, 2019",1297.4,1297.4,1297.4,1297.4,1297.4,-
GC=F,"Jan 24, 2019",1279.1,1279.1,1278.5,1279.1,1279.1,1
GC=F,"Jan 23, 2019",1281.7,1283.9,1278.7,1283.1,1283.1,14
GC=F,"Jan 22, 2019",1282.5,1283.3,1282.5,1282.5,1282.5,7
