date,value
7/8/2016, 23060
8/8/2016, 19731
9/8/2016, 19091
10/8/2016, 18701
11/8/2016, 16124
12/8/2016, 18821
13/8/2016, 20868
14/8/2016, 20554
15/8/2016, 21820
16/8/2016, 20588
17/8/2016, 17201
18/8/2016, 13717
19/8/2016, 13913
20/8/2016, 26427
21/8/2016, 18606
22/8/2016, 18260
23/8/2016, 19726
24/8/2016, 17748
25/8/2016, 17984
26/8/2016, 20210
27/8/2016, 20912
28/8/2016, 19750
29/8/2016, 21230
30/8/2016, 17676
1/9/2016, 17285
2/9/2016, 16869
3/9/2016, 22770
4/9/2016, 20191
5/9/2016, 19102
6/9/2016, 19174
7/9/2016, 21247
8/9/2016, 18265
9/9/2016, 17597
10/9/2016, 19079
11/9/2016, 20605
12/9/2016, 19254
13/9/2016, 17289
14/9/2016, 17479
15/9/2016, 20593
16/9/2016, 18498
17/9/2016, 18689
18/9/2016, 17940
19/9/2016, 20522
20/9/2016, 17281
21/9/2016, 15145
22/9/2016, 13770
23/9/2016, 14832
24/9/2016, 18801
25/9/2016, 15756
26/9/2016, 17995
27/9/2016, 19247
28/9/2016, 19798
29/9/2016, 18463
30/9/2016, 19812
31/9/2016, 23052
1/10/2016, 21499
2/10/2016, 20959
3/10/2016, 20253
4/10/2016, 18517
5/10/2016, 17653
6/10/2016, 20121
7/10/2016, 22734
8/10/2016, 22954
9/10/2016, 24370
10/10/2016, 20972
11/10/2016, 19923
12/10/2016, 17540
13/10/2016, 19573
14/10/2016, 22700
15/10/2016, 23129
16/10/2016, 23016
17/10/2016, 22943
18/10/2016, 22105
19/10/2016, 20995
20/10/2016, 17894
21/10/2016, 22770
22/10/2016, 22500
23/10/2016, 21827
24/10/2016, 21061
25/10/2016, 20433
26/10/2016, 19734
27/10/2016, 19864
28/10/2016, 22289
29/10/2016, 21602
30/10/2016, 21457
1/11/2016, 21117
2/11/2016, 20335
3/11/2016, 16186
4/11/2016, 16345
5/11/2016, 18558
6/11/2016, 20236
7/11/2016, 21592
8/11/2016, 21302
9/11/2016, 19749
10/11/2016, 18331
11/11/2016, 16070
12/11/2016, 18775
13/11/2016, 20749
14/11/2016, 21101
15/11/2016, 19341
16/11/2016, 19242
17/11/2016, 18364
18/11/2016, 18930
19/11/2016, 25718
20/11/2016, 22945
21/11/2016, 25531
22/11/2016, 27288
23/11/2016, 29448
24/11/2016, 22045
25/11/2016, 17925
26/11/2016, 19894
27/11/2016, 22525
28/11/2016, 24151
29/11/2016, 22502
30/11/2016, 18971
31/11/2016, 18483
1/0/2017, 21071
2/0/2017, 26461
3/0/2017, 27269
4/0/2017, 31611
5/0/2017, 33407
6/0/2017, 29065
7/0/2017, 22717
8/0/2017, 19595
9/0/2017, 23277
10/0/2017, 22918
11/0/2017, 29228
12/0/2017, 30387
13/0/2017, 28785
14/0/2017, 22367
15/0/2017, 22232
16/0/2017, 24103
17/0/2017, 25648
18/0/2017, 26491
19/0/2017, 27848
20/0/2017, 23365
21/0/2017, 20833
22/0/2017, 20816
23/0/2017, 24809
24/0/2017, 28304
25/0/2017, 27278
26/0/2017, 24366
27/0/2017, 23178
28/0/2017, 21300
29/0/2017, 20789
30/0/2017, 27170
31/0/2017, 23711
1/1/2017, 22600
2/1/2017, 23547
3/1/2017, 26694
4/1/2017, 27112
5/1/2017, 23530
6/1/2017, 29026
7/1/2017, 30138
8/1/2017, 26445
9/1/2017, 27886
10/1/2017, 26096
11/1/2017, 26759
12/1/2017, 27211
13/1/2017, 24621
14/1/2017, 27568
15/1/2017, 26945
16/1/2017, 24357
17/1/2017, 26355
18/1/2017, 21344
19/1/2017, 19946
20/1/2017, 26113
21/1/2017, 25187
22/1/2017, 26751
23/1/2017, 27929
24/1/2017, 37286
25/1/2017, 24005
26/1/2017, 27326
27/1/2017, 24703
28/1/2017, 23501
1/2/2017, 25248
2/2/2017, 28277
3/2/2017, 31848
4/2/2017, 24535
5/2/2017, 22507
6/2/2017, 29476
7/2/2017, 31214
8/2/2017, 28463
9/2/2017, 29362
10/2/2017, 36952
11/2/2017, 30193
12/2/2017, 26226
13/2/2017, 27414
14/2/2017, 27110
15/2/2017, 25560
16/2/2017, 26412
17/2/2017, 28612
18/2/2017, 25964
19/2/2017, 26859
20/2/2017, 30480
21/2/2017, 29659
22/2/2017, 32507
23/2/2017, 39969
24/2/2017, 30279
25/2/2017, 29728
26/2/2017, 23985
27/2/2017, 25216
28/2/2017, 26462
29/2/2017, 24593
30/2/2017, 25723
31/2/2017, 24542
1/3/2017, 21680
2/3/2017, 21011
3/3/2017, 25315
4/3/2017, 26979
5/3/2017, 28967
6/3/2017, 28251
7/3/2017, 29445
8/3/2017, 23272
9/3/2017, 22661
10/3/2017, 26562
11/3/2017, 28441
12/3/2017, 29250
13/3/2017, 27278
14/3/2017, 25953
15/3/2017, 22135
16/3/2017, 23562
17/3/2017, 28015
18/3/2017, 28770
19/3/2017, 26629
20/3/2017, 29974
21/3/2017, 28206
22/3/2017, 27203
23/3/2017, 25203
24/3/2017, 29644
25/3/2017, 33008
26/3/2017, 29463
27/3/2017, 32051
28/3/2017, 28213
29/3/2017, 25838
30/3/2017, 27459
1/4/2017, 34936
2/4/2017, 35501
3/4/2017, 31179
4/4/2017, 34255
5/4/2017, 29857
6/4/2017, 25032
7/4/2017, 26713
8/4/2017, 29244
9/4/2017, 44121
10/4/2017, 40934
11/4/2017, 35505
12/4/2017, 35985
13/4/2017, 33174
14/4/2017, 40474
15/4/2017, 32997
16/4/2017, 35688
17/4/2017, 33543
18/4/2017, 33534
19/4/2017, 34239
20/4/2017, 32852
21/4/2017, 34900
22/4/2017, 44720
23/4/2017, 48940
24/4/2017, 47492
25/4/2017, 51057
26/4/2017, 49914
27/4/2017, 39077
28/4/2017, 33992
29/4/2017, 41046
30/4/2017, 41624
31/4/2017, 47749
1/5/2017, 39409
2/5/2017, 35997
3/5/2017, 30857
4/5/2017, 38571
5/5/2017, 38632
6/5/2017, 51736
7/5/2017, 43821
8/5/2017, 37910
9/5/2017, 38824
10/5/2017, 34849
11/5/2017, 36404
12/5/2017, 42206
13/5/2017, 43501
14/5/2017, 41045
15/5/2017, 45335
16/5/2017, 41470
17/5/2017, 35393
18/5/2017, 33617
19/5/2017, 38427
20/5/2017, 41414
21/5/2017, 40215
22/5/2017, 37617
23/5/2017, 42760
24/5/2017, null
25/5/2017, null
26/5/2017, null
27/5/2017, null
28/5/2017, null
29/5/2017, null
30/5/2017, null
1/6/2017, null
2/6/2017, null
3/6/2017, null
4/6/2017, null
5/6/2017, null
6/6/2017, null
7/6/2017, null
8/6/2017, null
9/6/2017, null
10/6/2017, null
11/6/2017, null
12/6/2017, 41059
13/6/2017, 37788
14/6/2017, 36999
15/6/2017, 35882
16/6/2017, 35044
17/6/2017, 42841
18/6/2017, 38869
19/6/2017, 40774
20/6/2017, 42878
21/6/2017, 41888
22/6/2017, 36424
23/6/2017, 36108
24/6/2017, 44080
25/6/2017, 44885
26/6/2017, 47880
27/6/2017, 49367
28/6/2017, 46138
29/6/2017, 35823
30/6/2017, 37073
31/6/2017, 45510
1/7/2017, 52376
2/7/2017, 50050
3/7/2017, 47758
4/7/2017, 47503
5/7/2017, 48992
6/7/2017, 36187
7/7/2017, 46630
8/7/2017, 53994
9/7/2017, 48611
10/7/2017, 45181
11/7/2017, 49242
12/7/2017, 44387
13/7/2017, 47827
14/7/2017, 57531
15/7/2017, 65447
16/7/2017, 53779
17/7/2017, 71870
18/7/2017, 61067
19/7/2017, 51709
20/7/2017, 58268
21/7/2017, 53402
22/7/2017, 59244
23/7/2017, 59293
24/7/2017, 63067
25/7/2017, 58723
26/7/2017, 50258
27/7/2017, 47358
28/7/2017, 53173
29/7/2017, 60452
30/7/2017, 57072
31/7/2017, 58244
1/8/2017, 67953
2/8/2017, 53177
3/8/2017, 49077
4/8/2017, 77422
5/8/2017, 61290
6/8/2017, 57051
7/8/2017, 51603
8/8/2017, 57797
9/8/2017, 54796
10/8/2017, 52629
11/8/2017, 61659
12/8/2017, 64321
13/8/2017, 73211
14/8/2017, 81128
15/8/2017, 78373
16/8/2017, 64396
17/8/2017, 52831
18/8/2017, 73426
19/8/2017, 71751
20/8/2017, 59979
21/8/2017, 61443
22/8/2017, 63652
23/8/2017, 56876
24/8/2017, 55081
25/8/2017, 72699
26/8/2017, 61973
27/8/2017, 65959
28/8/2017, 70657
29/8/2017, 76874
30/8/2017, 56280
1/9/2017, 58917
2/9/2017, 66945
3/9/2017, 70772
4/9/2017, 76296
