name,date,market_cap,volume,open,close
Bitcoin,2020-01-11,"
$146,879,934,259
","
$35,777,298,156
","
$8,180.51
","
$8,012.09
"
Bitcoin,2020-01-10,"
$141,913,856,953
","
$29,276,053,441
","
$7,832.80
","
$8,180.51
"
Bitcoin,2020-01-09,"
$146,089,575,425
","
$39,971,512,000
","
$8,045.79
","
$7,832.80
"
Bitcoin,2020-01-08,"
$147,798,610,896
","
$34,823,187,724
","
$8,147.42
","
$8,045.79
"
Bitcoin,2020-01-07,"
$140,557,168,287
","
$28,148,518,762
","
$7,734.68
","
$8,147.42
"
Bitcoin,2020-01-06,"
$133,388,991,087
","
$21,929,224,571
","
$7,349.97
","
$7,734.68
"
Bitcoin,2020-01-05,"
$133,474,716,218
","
$20,611,640,058
","
$7,351.38
","
$7,349.97
"
Bitcoin,2020-01-04,"
$132,766,262,579
","
$31,015,776,262
","
$7,300.35
","
$7,351.38
"
Bitcoin,2020-01-03,"
$126,280,790,200
","
$20,313,194,628
","
$6,963.85
","
$7,300.35
"
Bitcoin,2020-01-02,"
$130,422,953,818
","
$18,123,516,839
","
$7,193.75
","
$6,963.85
"
Bitcoin,2020-01-01,"
$130,394,101,536
","
$21,187,883,711
","
$7,195.15
","
$7,193.75
"
Bitcoin,2019-12-31,"
$131,377,523,457
","
$22,320,671,264
","
$7,240.43
","
$7,195.15
"
Bitcoin,2019-12-30,"
$133,997,529,973
","
$22,035,194,451
","
$7,394.03
","
$7,240.43
"
Bitcoin,2019-12-29,"
$132,567,576,728
","
$21,437,778,062
","
$7,307.89
","
$7,394.03
"
Bitcoin,2019-12-28,"
$131,349,923,253
","
$25,893,684,880
","
$7,247.62
","
$7,307.89
"
Bitcoin,2019-12-27,"
$130,768,750,218
","
$24,771,695,136
","
$7,208.49
","
$7,247.62
"
Bitcoin,2019-12-26,"
$130,643,567,867
","
$23,546,783,551
","
$7,204.18
","
$7,208.49
"
Bitcoin,2019-12-25,"
$131,358,497,319
","
$26,519,710,985
","
$7,266.61
","
$7,204.18
"
Bitcoin,2019-12-24,"
$132,931,613,272
","
$30,235,862,119
","
$7,335.21
","
$7,266.61
"
Bitcoin,2019-12-23,"
$135,086,328,271
","
$24,325,792,144
","
$7,488.20
","
$7,335.21
"
Bitcoin,2019-12-22,"
$129,342,305,760
","
$18,632,480,433
","
$7,141.55
","
$7,488.20
"
Bitcoin,2019-12-21,"
$130,122,764,301
","
$22,483,207,164
","
$7,185.44
","
$7,141.55
"
Bitcoin,2019-12-20,"
$129,498,636,861
","
$23,539,013,331
","
$7,152.56
","
$7,185.44
"
Bitcoin,2019-12-19,"
$131,230,049,167
","
$57,308,255,784
","
$7,274.77
","
$7,152.56
"
Bitcoin,2019-12-18,"
$119,931,733,577
","
$26,481,385,709
","
$6,627.16
","
$7,274.77
"
Bitcoin,2019-12-17,"
$124,984,942,946
","
$22,208,927,989
","
$6,901.04
","
$6,627.16
"
Bitcoin,2019-12-16,"
$128,886,696,697
","
$18,896,096,612
","
$7,108.56
","
$6,901.04
"
Bitcoin,2019-12-15,"
$128,114,177,662
","
$19,497,758,114
","
$7,081.74
","
$7,108.56
"
Bitcoin,2019-12-14,"
$131,188,243,085
","
$18,535,665,729
","
 $7,247.35
","
$7,081.74
"
Bitcoin,2019-12-13,"
$130,489,545,692
","
$19,829,801,018
","
$7,200.71
","
$7,247.35
"
Bitcoin,2019-12-12,"
$130,242,932,604
","
$18,016,936,696
","
$7,197.43
","
$7,200.71
"
Bitcoin,2019-12-11,"
$130,970,047,495
","
$19,546,221,322
","
$7,233.95
","
$7,197.43
"
Bitcoin,2019-12-10,"
$133,091,781,421
","
$19,646,929,699
","
$7,347.04
","
$7,233.95
"
Bitcoin,2019-12-09,"
$135,886,870,643
","
$17,330,633,418
","
$7,508.32
","
$7,347.04
"
Bitcoin,2019-12-08,"
$135,655,571,431
","
$17,579,259,211
","
$7,493.55
","
$7,508.32
"
Bitcoin,2019-12-07,"
$135,763,797,983
","
$20,930,338,572
","
$7,530.92
","
$7,493.55
"
Bitcoin,2019-12-06,"
$133,644,089,122
","
$22,344,057,774
","
$7,373.78
","
$7,530.92
"
Bitcoin,2019-12-05,"
$130,707,605,072
","
$24,794,733,347
","
$7,209.97
","
$7,373.78
"
Bitcoin,2019-12-04,"
$131,920,184,619
","
$17,246,866,851
","
$7,286.08
","
$7,209.97
"
Bitcoin,2019-12-03,"
$132,186,853,223
","
$19,403,364,523
","
$7,308.98
","
$7,286.08
"
Bitcoin,2019-12-02,"
$133,806,709,251
","
$22,892,863,740
","
$7,405.81
","
$7,308.98
"
Bitcoin,2019-12-01,"
$136,619,988,248
","
$19,070,509,165
","
$7,556.40
","
$7,405.81
"
Bitcoin,2019-11-30,"
$139,585,890,644
","
$23,595,242,63)4
","
$7,720.87
","
$7,556.40
"
Bitcoin,2019-11-29,"
$134,540,136,589
","
$22,282,583,661
","
$7,438.62
","
$7,720.87
"
Bitcoin,2019-11-28,"
$135,280,930,612
","
$28,972,696,169
","
$7,483.75
","
$7,438.62
"
Bitcoin,2019-11-27,"
$129,550,686,419
","
$25,650,766,568
","
$7,157.68
","
$7,483.75
"
Bitcoin,2019-11-26,"
$128,442,554,041
","
$34,693,320,000
","
$7,118.26
","
$7,157.68
"
Bitcoin,2019-11-25,"
$126,056,411,448
 ","
$25,073,885,715
","
$6,935.74
","
$7,118.26
"
Bitcoin,2019-11-24,"
$132,153,647,358
","
$23,984,198,665
","
$7,309.69
","
$6,935.74
"
Bitcoin,2019-11-23,"
$131,796,120,680
","
$39,111,609,334
","
$7,293.01
","
$7,309.69
"
Bitcoin,2019-11-22,"
$137,741,605,692
","
$26,390,689,050
","
$7,632.49
","
$7,293.01
"
Bitcoin,2019-11-21,"
$146,173,851,046
","
$23,442,272,035
","
$8,095.87
","
$7,632.49
"
Bitcoin,2019-11-20,"
$146,797,393,103
","
$24,993,518,394
","
$8,138.83
","
$8,095.87
"
Bitcoin,2019-11-19,"
$148,089,631,527
","
$25,563,738,776
","
$8,202.83
","
$8,138.83
"
Bitcoin,2019-11-18,"
$153,491,320,213
","
$22,808,991,915
","
$8,508.50
","
$8,202.83
"
Bitcoin,2019-11-17,"
$153,343,011,226
","
$21,153,024,163
","
$8,496.38
","
$8,508.50
"
Bitcoin,2019-11-16,"
$152,925,645,909
","
$27,102,692,385
","
$8,480.44
 ","
$8,496.38
"
Bitcoin,2019-11-15,"
$156,230,551,241
","
$24,149,531,742
","
$8,652.03
","
$8,480.44
"
Bitcoin,2019-11-14,"
$158,380,664,654
","
$22,919,706,604
","
$8,770.78
","
$8,652.03
"
Bitcoin,2019-11-13,"
$158,722,325,408
","
$25,677,565,876
","
$8,806.75
","
$8,770.78
"
Bitcoin,2019-11-12,"
$157,759,659,438
","
$24,569,575,080
","
$8,729.92
","
$8,806.75
"
Bitcoin,2019-11-11,"
$162,996,713,001
","
$24,973,742,613
","
$9,043.67
","
$8,729.92
"
Bitcoin,2019-11-10,"
$159,050,488,592
","
$22,726,115,539
","
$8,809.78
","
$9,043.67
"
Bitcoin,2019-11-09,"
$158,619,022,798
","
$30,263,888,375
","
$8,795.90
","
$8,809.78
"
Bitcoin,2019-11-08,"
$166,326,340,114
","
$27,099,310,470
","
$9,221.07
","
$8,795.90
"
Bitcoin,2019-11-07,"
$168,462,131,862
","
$28,787,468,130
","
$9,340.05
","
$9,221.07
"
