,0,1,2,3,4,5
0,Name,Date,Market Cap,Volume,Open,Close
197,Bitcoin,2021-04-19,1053618163310.0,102065957642.0,56289.0,55721.0
198,Bitcoin,2021-04-18,1125592412523.0,63808212133.0,60274.0,56289.0
199,Bitcoin,2021-04-17,1149602869702.0,86260673270.0,61497.0,60274.0
200,Bitcoin,2021-04-16,1179561609817.0,60495376851.0,63180.0,61497.0
201,Bitcoin,2021-04-15,1173412921930.0,80157135508.0,62807.0,63180.0
202,Bitcoin,2021-04-14,1187737045885.0,71993120011.0,63577.0,62807.0
203,Bitcoin,2021-04-13,1118532902102.0,55994558889.0,59911.0,63577.0
204,Bitcoin,2021-04-12,1120606689450.0,46792500387.0,59988.0,59911.0
205,Bitcoin,2021-04-11,1116221525334.0,61788197399.0,59979.0,59988.0
206,Bitcoin,2021-04-10,1085794662405.0,45880879042.0,58153.0,59979.0
207,Bitcoin,2021-04-09,1083362883828.0,48714359354.0,58066.0,58153.0
208,Bitcoin,2021-04-08,1050759681845.0,67617613532.0,56134.0,58066.0
209,Bitcoin,2021-04-07,1084341670321.0,61497704158.0,58062.0,56134.0
210,Bitcoin,2021-04-06,1096202611390.0,54670173277.0,58707.0,58062.0
211,Bitcoin,2021-04-05,1087344280110.0,46156767978.0,58229.0,58707.0
212,Bitcoin,2021-04-04,1067101827373.0,52067853988.0,57060.0,58229.0
213,Bitcoin,2021-04-03,1103133931137.0,52224918752.0,59060.0,57060.0
214,Bitcoin,2021-04-02,1098583823874.0,54320681401.0,58801.0,59060.0
215,Bitcoin,2021-04-01,1098127310947.0,57495844478.0,58817.0,58801.0
216,Bitcoin,2021-03-31,1095293012033.0,52387542501.0,58669.0,58817.0
217,Bitcoin,2021-03-30,1075942162537.0,57387039705.0,57635.0,58669.0
218,Bitcoin,2021-03-29,1039333584621.0,49315845081.0,55728.0,57635.0
219,Bitcoin,2021-03-28,1042184275333.0,47285749219.0,55832.0,55728.0
220,Bitcoin,2021-03-27,1027209990795.0,55442557956.0,55033.0,55832.0
221,Bitcoin,2021-03-26,959155260367.0,63401640503.0,51417.0,55033.0
222,Bitcoin,2021-03-25,982797427007.0,73029051195.0,52527.0,51417.0
223,Bitcoin,2021-03-24,1017637245492.0,60383378707.0,54585.0,52527.0
224,Bitcoin,2021-03-23,1020641820439.0,62001716795.0,54370.0,54585.0
225,Bitcoin,2021-03-22,1074356788297.0,55664123838.0,57574.0,54370.0
226,Bitcoin,2021-03-21,1090022321078.0,54549112636.0,58376.0,57574.0
227,Bitcoin,2021-03-20,1086741150607.0,51948388931.0,58243.0,58376.0
228,Bitcoin,2021-03-19,1081065767946.0,58387006276.0,57922.0,58243.0
229,Bitcoin,2021-03-18,1101028543248.0,63368268626.0,59015.0,57922.0
230,Bitcoin,2021-03-17,1060221966895.0,63219904254.0,56830.0,59015.0
231,Bitcoin,2021-03-16,1049197142852.0,70594488700.0,55805.0,56830.0
232,Bitcoin,2021-03-15,1111684638819.0,48104078384.0,59429.0,55805.0
233,Bitcoin,2021-03-14,1145191373522.0,67332756651.0,61315.0,59429.0
234,Bitcoin,2021-03-13,1069776383194.0,59984971692.0,57354.0,61315.0
235,Bitcoin,2021-03-12,1077836070933.0,64605228618.0,57789.0,57354.0
236,Bitcoin,2021-03-11,1044805904678.0,63560545037.0,56020.0,57789.0
237,Bitcoin,2021-03-10,1018978819157.0,57418251743.0,54700.0,56020.0
238,Bitcoin,2021-03-09,974195000547.0,53568946626.0,52329.0,54700.0
239,Bitcoin,2021-03-08,955040794770.0,46146324828.0,51313.0,52329.0
240,Bitcoin,2021-03-07,916504852500.0,41478786533.0,49019.0,51313.0
241,Bitcoin,2021-03-06,911379300053.0,56568112294.0,49092.0,49019.0
242,Bitcoin,2021-03-05,908517236708.0,60749587836.0,48727.0,49092.0
243,Bitcoin,2021-03-04,942969910364.0,59212268141.0,50577.0,48727.0
244,Bitcoin,2021-03-03,905413239165.0,53499537417.0,48532.0,50577.0
245,Bitcoin,2021-03-02,928146793676.0,63218569172.0,49787.0,48532.0
246,Bitcoin,2021-03-01,838307614585.0,59679588927.0,44970.0,49787.0
247,Bitcoin,2021-02-28,869649724201.0,50989764249.0,46654.0,44970.0
248,Bitcoin,2021-02-27,869070614248.0,74357197464.0,46551.0,46654.0
249,Bitcoin,2021-02-26,875883932252.0,60355381276.0,46993.0,46551.0
250,Bitcoin,2021-02-25,929081504354.0,73140585469.0,49849.0,46993.0
251,Bitcoin,2021-02-24,904133801445.0,116689607926.0,48692.0,49849.0
252,Bitcoin,2021-02-23,1012091985973.0,101532021847.0,54411.0,48692.0
253,Bitcoin,2021-02-22,1075380337358.0,61223272211.0,57669.0,54411.0
254,Bitcoin,2021-02-21,1050555931433.0,77351787996.0,56378.0,57669.0
255,Bitcoin,2021-02-20,1044189900352.0,71397235197.0,56039.0,56378.0
256,Bitcoin,2021-02-19,963911356673.0,58486508606.0,51733.0,56039.0
257,Bitcoin,2021-02-18,971516568848.0,68478739131.0,52144.0,51733.0
258,Bitcoin,2021-02-17,917339726315.0,64141133354.0,49238.0,52144.0
259,Bitcoin,2021-02-16,892345220938.0,61061855794.0,47898.0,49238.0
260,Bitcoin,2021-02-15,905515462577.0,57738376570.0,48608.0,47898.0
261,Bitcoin,2021-02-14,874425017687.0,55312381649.0,46941.0,48608.0
262,Bitcoin,2021-02-13,880620921496.0,61942185129.0,47414.0,46941.0
263,Bitcoin,2021-02-12,890629045244.0,66187179919.0,47816.0,47414.0
264,Bitcoin,2021-02-11,839561451461.0,70000356396.0,44849.0,47816.0
265,Bitcoin,2021-02-10,867164581003.0,78828431117.0,46570.0,44849.0
266,Bitcoin,2021-02-09,862413737411.0,86994225365.0,46308.0,46570.0
267,Bitcoin,2021-02-08,723434796638.0,53802559039.0,38833.0,46308.0
