date,name,market_cap,perc_market_cap,volume,perc_volume,open,perc_open,close,perc_close,gain_loss,time_stamps
2019-06-26,Bitcoin,209906767119.0,0.06973,33544426408.0,0.21848,11808.42,0.06907,12996.12,0.10058,1187.7,2021-12-07
2019-06-25,Bitcoin,196224565119.0,0.01668,27529761441.0,-0.05423,11045.55,0.01839,11808.42,0.06907,762.87,2021-12-07
2019-06-24,Bitcoin,193006026351.0,0.01437,29108428088.0,-0.27573,10846.13,0.01319,11045.55,0.01839,199.42,2021-12-07
2019-06-23,Bitcoin,190271555704.0,0.05891,40190146697.0,0.40619,10704.92,0.05797,10846.13,0.01319,141.21,2021-12-07
2019-06-22,Bitcoin,179686819951.0,0.05722,28580960083.0,0.15679,10118.36,0.0597,10704.92,0.05797,586.56,2021-12-07
2019-06-21,Bitcoin,169961289185.0,0.03097,24707058599.0,0.10803,9548.31,0.02826,10118.36,0.0597,570.05,2021-12-07
2019-06-20,Bitcoin,164856060873.0,0.01959,22298101529.0,-0.10913,9285.93,0.0211,9548.31,0.02826,262.38,2021-12-07
2019-06-19,Bitcoin,161689176435.0,-0.0229,25029522787.0,-0.08865,9094.02,-0.0235,9285.93,0.0211,191.91,2021-12-07
2019-06-18,Bitcoin,165478791606.0,0.0343,27464356714.0,0.00581,9312.87,0.03721,9094.02,-0.0235,-218.85,2021-12-07
2019-06-17,Bitcoin,159990740760.0,0.02184,27305637341.0,0.24724,8978.77,0.01816,9312.87,0.03721,334.1,2021-12-07
2019-06-16,Bitcoin,156571955413.0,0.01375,21892878337.0,-0.06005,8818.61,0.01696,8978.77,0.01816,160.16,2021-12-07
2019-06-15,Bitcoin,154448670611.0,0.058,23291543613.0,0.01624,8671.51,0.05395,8818.61,0.01696,147.1,2021-12-07
2019-06-14,Bitcoin,145982200974.0,0.01089,22919390184.0,0.03326,8227.63,0.01014,8671.51,0.05395,443.88,2021-12-07
2019-06-13,Bitcoin,144409895372.0,0.02988,22181532883.0,0.0554,8145.06,0.03128,8227.63,0.01014,82.57,2021-12-07
2019-06-12,Bitcoin,140220553938.0,-0.01201,21017248550.0,-0.03332,7897.98,-0.01309,8145.06,0.03128,247.08,2021-12-07
2019-06-11,Bitcoin,141925422733.0,0.04314,21741587788.0,0.07888,8002.73,0.04365,7897.98,-0.01309,-104.75,2021-12-07
2019-06-10,Bitcoin,136055336062.0,-0.03501,20152037018.0,0.01625,7668.03,-0.03456,8002.73,0.04365,334.7,2021-12-07
2019-06-09,Bitcoin,140990840428.0,-0.01274,19829877311.0,-0.16079,7942.54,-0.01164,7668.03,-0.03456,-274.51,2021-12-07
2019-06-08,Bitcoin,142810130543.0,0.02877,23629265497.0,-0.0379,8036.11,0.02749,7942.54,-0.01164,-93.57,2021-12-07
2019-06-07,Bitcoin,138816674701.0,0.00163,24560046378.0,-0.00331,7821.12,0.00111,8036.11,0.02749,214.99,2021-12-07
2019-06-06,Bitcoin,138590833268.0,0.01871,24641673547.0,-0.03146,7812.45,0.01676,7821.12,0.00111,8.67,2021-12-07
2019-06-05,Bitcoin,136045887610.0,-0.06252,25442100900.0,0.03902,7683.64,-0.05995,7812.45,0.01676,128.81,2021-12-07
2019-06-04,Bitcoin,145118113642.0,-0.06381,24486741553.0,-0.02575,8173.63,-0.0652,7683.64,-0.05995,-489.99,2021-12-07
2019-06-03,Bitcoin,155008799790.0,0.02144,25133975363.0,-0.05808,8743.71,0.02215,8173.63,-0.0652,-570.08,2021-12-07
2019-06-02,Bitcoin,151754429106.0,-0.00186,26683797990.0,-0.1202,8554.26,-0.00249,8743.71,0.02215,189.45,2021-12-07
2019-06-01,Bitcoin,152037344606.0,0.03056,30329343189.0,-0.08908,8575.65,0.03186,8554.26,-0.00249,-21.39,2021-12-07
2019-05-31,Bitcoin,147528939419.0,-0.03696,33295240431.0,0.18006,8310.89,-0.03928,8575.65,0.03186,264.76,2021-12-07
2019-05-30,Bitcoin,153190671230.0,-0.0098,28214892247.0,0.03215,8650.68,-0.00874,8310.89,-0.03928,-339.79,2021-12-07
2019-05-29,Bitcoin,154706420285.0,-0.01052,27335990651.0,-0.17506,8726.98,-0.0101,8650.68,-0.00874,-76.3,2021-12-07
2019-05-28,Bitcoin,156351517829.0,0.02338,33136840741.0,0.13388,8816.03,0.02143,8726.98,-0.0101,-89.05,2021-12-07
2019-05-27,Bitcoin,152778982388.0,0.07363,29224396883.0,0.21878,8631.08,0.07383,8816.03,0.02143,184.95,2021-12-07
2019-05-26,Bitcoin,142301375409.0,0.00668,23978335158.0,-0.12387,8037.63,0.00757,8631.08,0.07383,593.45,2021-12-07
2019-05-25,Bitcoin,141356836449.0,0.01335,27368459147.0,0.07983,7977.24,0.01468,8037.63,0.00757,60.39,2021-12-07
2019-05-24,Bitcoin,139495233992.0,0.02636,25345060243.0,0.03071,7861.81,0.02557,7977.24,0.01468,115.43,2021-12-07
2019-05-23,Bitcoin,135913068221.0,-0.03619,24589881451.0,-0.02862,7665.8,-0.03676,7861.81,0.02557,196.01,2021-12-07
2019-05-22,Bitcoin,141016653223.0,-0.00066,25314342979.0,-0.11555,7958.37,-0.00232,7665.8,-0.03676,-292.57,2021-12-07
2019-05-21,Bitcoin,141109768386.0,-0.02412,28621475468.0,-0.06915,7976.85,-0.02349,7958.37,-0.00232,-18.48,2021-12-07
2019-05-20,Bitcoin,144597541605.0,0.11857,30747684364.0,0.36785,8168.73,0.1189,7976.85,-0.02349,-191.88,2021-12-07
2019-05-19,Bitcoin,129270047520.0,-0.00656,22478772524.0,-0.31945,7300.66,-0.00582,8168.73,0.1189,868.07,2021-12-07
2019-05-18,Bitcoin,130123159718.0,-0.06739,33030146386.0,-0.05701,7343.37,-0.06762,7300.66,-0.00582,-42.71,2021-12-07
2019-05-17,Bitcoin,139525363820.0,-0.0352,35026947534.0,0.13379,7875.91,-0.03861,7343.37,-0.06762,-532.54,2021-12-07
2019-05-16,Bitcoin,144615566025.0,0.02317,30893707828.0,-0.12794,8192.22,0.0253,7875.91,-0.03861,-316.31,2021-12-07
2019-05-15,Bitcoin,141341132029.0,0.02355,35426123185.0,0.10437,7990.06,0.02358,8192.22,0.0253,202.16,2021-12-07
2019-05-14,Bitcoin,138089773338.0,0.12426,32078035931.0,0.01689,7805.98,0.12256,7990.06,0.02358,184.08,2021-12-07
2019-05-13,Bitcoin,122826926577.0,-0.05024,31545333637.0,-0.02878,6953.75,-0.04195,7805.98,0.12256,852.23,2021-12-07
2019-05-12,Bitcoin,129323693413.0,0.14766,32480039430.0,0.5614,7258.26,0.1394,6953.75,-0.04195,-304.51,2021-12-07
2019-05-11,Bitcoin,112684642519.0,0.03111,20801839693.0,0.13045,6370.23,0.03274,7258.26,0.1394,888.03,2021-12-07
2019-05-10,Bitcoin,109284325643.0,0.03812,18401396126.0,0.1037,6168.27,0.03532,6370.23,0.03274,201.96,2021-12-07
2019-05-09,Bitcoin,105271848240.0,0.0124,16672412472.0,-0.14096,5957.86,0.02,6168.27,0.03532,210.41,2021-12-07
2019-05-08,Bitcoin,103982497546.0,0.0285,19408267639.0,0.15448,5841.05,0.02192,5957.86,0.02,116.81,2021-12-07
2019-05-07,Bitcoin,101101531131.0,-0.00652,16811224132.0,0.03875,5715.76,-0.00584,5841.05,0.02192,125.29,2021-12-07
2019-05-06,Bitcoin,101764683179.0,-0.00865,16184057012.0,-0.15896,5749.32,-0.00941,5715.76,-0.00584,-33.56,2021-12-07
2019-05-05,Bitcoin,102653043813.0,0.0146,19242843060.0,-0.03816,5803.94,0.01264,5749.32,-0.00941,-54.62,2021-12-07
2019-05-04,Bitcoin,101175865117.0,0.04966,20006287572.0,0.21158,5731.49,0.05151,5803.94,0.01264,72.45,2021-12-07
2019-05-03,Bitcoin,96389607752.0,0.01913,16512618031.0,0.13361,5450.71,0.01795,5731.49,0.05151,280.78,2021-12-07
2019-05-02,Bitcoin,94579889910.0,0.01118,14566414700.0,-0.13269,5354.59,0.01167,5450.71,0.01795,96.12,2021-12-07
2019-05-01,Bitcoin,93534079556.0,0.01794,16794865767.0,0.08761,5292.8,0.01789,5354.59,0.01167,61.79,2021-12-07
2019-04-30,Bitcoin,91885324030.0,-0.00959,15442022887.0,-0.00842,5199.76,-0.01104,5292.8,0.01789,93.04,2021-12-07
2019-04-29,Bitcoin,92775167509.0,-0.004,15573084969.0,0.04684,5257.8,0.00016,5199.76,-0.01104,-58.04,2021-12-07
2019-04-28,Bitcoin,93148101240.0,0.00106,14876251954.0,-0.24225,5256.98,-0.00734,5257.8,0.00016,0.82,2021-12-07
2019-04-27,Bitcoin,93049690718.0,0.01342,19632024918.0,0.01565,5295.85,0.01783,5256.98,-0.00734,-38.87,2021-12-07
2019-04-26,Bitcoin,91817406864.0,-0.04574,19329534424.0,-0.05886,5203.09,-0.04567,5295.85,0.01783,92.76,2021-12-07
2019-04-25,Bitcoin,96218396013.0,-0.01858,20538511242.0,0.05865,5452.1,-0.01904,5203.09,-0.04567,-249.01,2021-12-07
2019-04-24,Bitcoin,98039931169.0,0.0321,19400647820.0,0.12798,5557.93,0.03289,5452.1,-0.01904,-105.83,2021-12-07
2019-04-23,Bitcoin,94990455843.0,0.01313,17199396917.0,0.04978,5380.94,0.01314,5557.93,0.03289,176.99,2021-12-07
2019-04-22,Bitcoin,93759009855.0,-0.0015,16383813162.0,0.09292,5311.16,0.00065,5380.94,0.01314,69.78,2021-12-07
2019-04-21,Bitcoin,93900276129.0,0.0074,14990889922.0,-0.07793,5307.69,0.00518,5311.16,0.00065,3.47,2021-12-07
2019-04-20,Bitcoin,93210585887.0,-5e-05,16257796674.0,0.05956,5280.35,0.00106,5307.69,0.00518,27.34,2021-12-07
2019-04-19,Bitcoin,93215173177.0,0.01148,15343841014.0,0.05598,5274.77,0.01069,5280.35,0.00106,5.58,2021-12-07
2019-04-18,Bitcoin,92156851199.0,0.0035,14530488676.0,0.06479,5218.96,0.00103,5274.77,0.01069,55.81,2021-12-07
2019-04-17,Bitcoin,91835875598.0,0.03015,13646324290.0,-0.0138,5213.6,0.03447,5218.96,0.00103,5.36,2021-12-07
2019-04-16,Bitcoin,89148028192.0,-0.01984,13837248985.0,0.11829,5039.88,-0.02125,5213.6,0.03447,173.72,2021-12-07
2019-04-15,Bitcoin,90952758268.0,0.01653,12373544681.0,0.00924,5149.31,0.01504,5039.88,-0.02125,-109.43,2021-12-07
2019-04-14,Bitcoin,89473995794.0,-0.00217,12260233701.0,-0.21387,5072.99,-0.00187,5149.31,0.01504,76.32,2021-12-07
2019-04-13,Bitcoin,89668931908.0,0.00662,15595642634.0,-0.21068,5082.47,0.00687,5072.99,-0.00187,-9.48,2021-12-07
2019-04-12,Bitcoin,89079171480.0,-0.04877,19758274668.0,0.01808,5047.79,-0.04919,5082.47,0.00687,34.68,2021-12-07
2019-04-11,Bitcoin,93646653914.0,0.0262,19407452727.0,0.22981,5308.91,0.02644,5047.79,-0.04919,-261.12,2021-12-07
2019-04-10,Bitcoin,91255525158.0,-0.01683,15780870293.0,-0.28141,5172.18,-0.01798,5308.91,0.02644,136.73,2021-12-07
2019-04-09,Bitcoin,92817357385.0,0.01883,21960916923.0,-0.03999,5266.89,0.01737,5172.18,-0.01798,-94.71,2021-12-07
2019-04-08,Bitcoin,91102196906.0,0.02413,22875598540.0,0.16398,5176.98,0.0268,5266.89,0.01737,89.91,2021-12-07
2019-04-07,Bitcoin,88955701285.0,0.00706,19652913084.0,-0.02091,5041.87,0.00537,5176.98,0.0268,135.11,2021-12-07
2019-04-06,Bitcoin,88332459638.0,0.02139,20072621554.0,-0.15566,5014.96,0.02367,5041.87,0.00537,26.91,2021-12-07
