date,open,high,low,close,adjusted_close,volume,percent_change,name,source
2019-03-25,59.12,60.38,59.04,59.94,59.94,685988.0,0.019041142468548156,Oil,Yahoo Finance
2019-03-26,60.03,60.22,58.81,59.41,59.41,732150.0,-0.008842175508842143,Oil,Yahoo Finance
2019-03-27,59.4,59.56,58.2,59.3,59.3,712209.0,-0.001851540144756747,Oil,Yahoo Finance
2019-03-28,59.53,60.73,59.41,60.14,60.14,705559.0,0.014165261382799388,Oil,Yahoo Finance
2019-03-29,59.53,60.73,59.41,60.14,60.14,705559.0,0.0,Oil,Yahoo Finance
2019-03-30,59.53,60.73,59.41,60.14,60.14,705559.0,0.0,Oil,Yahoo Finance
2019-03-31,60.24,61.8,60.13,61.59,61.59,670808.0,0.024110409045560388,Oil,Yahoo Finance
2019-04-01,61.81,62.75,61.6,62.58,62.58,793227.0,0.016074037993180523,Oil,Yahoo Finance
2019-04-02,62.64,62.99,62.05,62.46,62.46,799672.0,-0.0019175455417065335,Oil,Yahoo Finance
2019-04-03,62.5,62.77,61.89,62.1,62.1,684973.0,-0.0057636887608069065,Oil,Yahoo Finance
2019-04-04,62.18,63.34,61.82,63.08,63.08,686862.0,0.015780998389693934,Oil,Yahoo Finance
2019-04-05,62.18,63.34,61.82,63.08,63.08,686862.0,0.0,Oil,Yahoo Finance
2019-04-06,62.18,63.34,61.82,63.08,63.08,686862.0,0.0,Oil,Yahoo Finance
2019-04-07,63.33,64.48,63.13,64.4,64.4,895767.0,0.020925808497146647,Oil,Yahoo Finance
2019-04-08,64.4,64.79,63.68,63.98,63.98,790677.0,-0.006521739130434967,Oil,Yahoo Finance
2019-04-09,64.22,64.7,64.05,64.61,64.61,722216.0,0.009846827133479286,Oil,Yahoo Finance
2019-04-10,64.48,64.49,63.31,63.58,63.58,760504.0,-0.015941804674199034,Oil,Yahoo Finance
2019-04-11,63.71,64.65,63.66,63.89,63.89,625588.0,0.004875747090280047,Oil,Yahoo Finance
2019-04-12,63.71,64.65,63.66,63.89,63.89,625588.0,0.0,Oil,Yahoo Finance
2019-04-13,63.71,64.65,63.66,63.89,63.89,625588.0,0.0,Oil,Yahoo Finance
2019-04-14,63.76,63.84,63.03,63.4,63.4,555858.0,-0.007669431835968132,Oil,Yahoo Finance
