,Symbol,Date,Open,High,Low,Close,Adjusted Close,Volume
67,^IXIC,"Sep 25, 2020","10,680.46","10,939.55","10,639.98","10,913.56","10,913.56","3,767,230,000"
68,^IXIC,"Sep 24, 2020","10,551.02","10,799.55","10,520.22","10,672.27","10,672.27","4,080,730,000"
69,^IXIC,"Sep 23, 2020","10,950.82","10,962.03","10,612.91","10,632.99","10,632.99","4,074,600,000"
70,^IXIC,"Sep 22, 2020","10,873.30","10,979.65","10,737.52","10,963.64","10,963.64","3,492,020,000"
71,^IXIC,"Sep 21, 2020","10,610.14","10,782.74","10,519.49","10,778.80","10,778.80","3,885,200,000"
72,^IXIC,"Sep 18, 2020","10,973.45","10,977.68","10,639.95","10,793.28","10,793.28","5,745,690,000"
73,^IXIC,"Sep 17, 2020","10,796.05","10,974.45","10,783.81","10,910.28","10,910.28","3,726,750,000"
74,^IXIC,"Sep 16, 2020","11,222.08","11,245.42","11,046.43","11,050.47","11,050.47","3,661,710,000"
75,^IXIC,"Sep 15, 2020","11,193.96","11,244.46","11,127.98","11,190.32","11,190.32","3,772,820,000"
76,^IXIC,"Sep 14, 2020","11,010.14","11,118.29","10,982.26","11,056.65","11,056.65","3,716,820,000"
77,^IXIC,"Sep 11, 2020","11,010.07","11,033.04","10,728.03","10,853.55","10,853.55","3,609,190,000"
78,^IXIC,"Sep 10, 2020","11,235.53","11,299.53","10,875.02","10,919.59","10,919.59","3,814,100,000"
79,^IXIC,"Sep 09, 2020","11,064.76","11,217.69","10,970.45","11,141.56","11,141.56","3,531,780,000"
80,^IXIC,"Sep 08, 2020","10,900.70","11,131.50","10,837.20","10,847.69","10,847.69","3,872,230,000"
81,^IXIC,"Sep 04, 2020","11,396.24","11,531.18","10,875.87","11,313.13","11,313.13","4,269,190,000"
82,^IXIC,"Sep 03, 2020","11,861.90","11,894.40","11,361.36","11,458.10","11,458.10","4,437,500,000"
83,^IXIC,"Sep 02, 2020","12,047.26","12,074.06","11,836.18","12,056.44","12,056.44","3,966,140,000"
84,^IXIC,"Sep 01, 2020","11,850.96","11,945.72","11,794.78","11,939.67","11,939.67","3,480,780,000"
85,^IXIC,"Aug 31, 2020","11,718.81","11,829.84","11,697.42","11,775.46","11,775.46","3,596,980,000"
86,^IXIC,"Aug 28, 2020","11,689.28","11,708.77","11,634.77","11,695.63","11,695.63","2,997,810,000"
