,Symbol,Date,Open,High,Low,Close,Adjusted Close,Volume
76,GCZ21.CMX,"Sep 13, 2020","1,976.20","1,993.90","1,975.60","1,990.40","1,990.40",26
77,GCZ21.CMX,"Sep 10, 2020","1,978.70","1,983.80","1,972.20","1,973.80","1,973.80",51
78,GCZ21.CMX,"Sep 09, 2020","1,978.10","1,990.40","1,974.90","1,989.40","1,989.40",75
79,GCZ21.CMX,"Sep 08, 2020","1,960.90","1,980.90","1,959.00","1,978.70","1,978.70",198
80,GCZ21.CMX,"Sep 07, 2020","1,968.50","1,968.50","1,936.00","1,967.60","1,967.60",362
81,GCZ21.CMX,"Sep 03, 2020","1,963.70","1,972.20","1,949.70","1,958.90","1,958.90",84
82,GCZ21.CMX,"Sep 02, 2020","1,980.30","1,980.30","1,954.60","1,962.70","1,962.70",197
83,GCZ21.CMX,"Sep 01, 2020","2,003.50","2,006.70","1,966.20","1,971.60","1,971.60",194
84,GCZ21.CMX,"Aug 31, 2020","2,001.10","2,027.90","2,001.10","2,006.60","2,006.60",91
85,GCZ21.CMX,"Aug 30, 2020","2,006.10","2,009.80","1,988.50","2,006.80","2,006.80",189
86,GCZ21.CMX,"Aug 27, 2020","1,967.00","2,004.40","1,967.00","1,998.60","1,998.60",682
87,GCZ21.CMX,"Aug 26, 2020","1,981.00","1,981.00","1,943.50","1,960.90","1,960.90",170
88,GCZ21.CMX,"Aug 25, 2020","1,951.00","1,993.00","1,938.20","1,982.60","1,982.60",31
89,GCZ21.CMX,"Aug 24, 2020","1,971.80","1,974.00","1,953.40","1,953.40","1,953.40",58
90,GCZ21.CMX,"Aug 23, 2020","1,983.20","1,989.60","1,970.60","1,970.60","1,970.60",65
91,GCZ21.CMX,"Aug 20, 2020","1,989.50","1,992.80","1,953.00","1,977.90","1,977.90",71
92,GCZ21.CMX,"Aug 19, 2020","1,967.60","1,993.10","1,964.20","1,977.50","1,977.50",202
93,GCZ21.CMX,"Aug 18, 2020","2,036.10","2,039.90","1,973.50","2,000.90","2,000.90",408
94,GCZ21.CMX,"Aug 17, 2020","2,027.00","2,047.00","2,027.00","2,045.00","2,045.00",66
95,GCZ21.CMX,"Aug 16, 2020","1,990.60","2,031.00","1,976.00","2,031.00","2,031.00",202
96,GCZ21.CMX,"Aug 13, 2020","1,996.90","2,006.10","1,986.20","1,986.20","1,986.20",27
97,GCZ21.CMX,"Aug 12, 2020","1,983.00","2,008.10","1,983.00","2,008.10","2,008.10",31
98,GCZ21.CMX,"Aug 11, 2020","1,962.10","1,994.20","1,915.00","1,986.30","1,986.30",131
99,GCZ21.CMX,"Aug 10, 2020","2,071.70","2,071.70","1,955.20","1,985.90","1,985.90",642
