symbol,date,open,high,low,close,adjusted Close,volume
CL=F,"Jun 10, 2019",53.43,54.04,52.91,53.27,53.27,"642,940"
CL=F,"Jun 09, 2019",54.24,54.84,53.05,53.26,53.26,"687,146"
CL=F,"Jun 06, 2019",53.10,54.32,52.62,53.99,53.99,"828,133"
CL=F,"Jun 05, 2019",51.66,53.30,51.17,52.59,52.59,"790,067"
CL=F,"Jun 04, 2019",52.86,53.41,50.60,51.68,51.68,"943,186"
CL=F,"Jun 03, 2019",52.89,53.78,52.43,53.48,53.48,"831,625"
CL=F,"Jun 02, 2019",53.42,54.63,52.11,53.25,53.25,"984,308"
CL=F,"May 30, 2019",56.46,56.61,53.05,53.50,53.50,"1,031,488"
CL=F,"May 29, 2019",59.12,59.70,56.33,56.59,56.59,"842,281"
CL=F,"May 28, 2019",59.07,59.14,56.88,58.81,58.81,"1,124,959"
CL=F,"May 27, 2019",58.94,59.57,58.13,59.14,59.14,"1,020,323"
CL=F,"May 23, 2019",58.21,59.10,57.50,58.63,58.63,"758,099"
CL=F,"May 22, 2019",61.27,61.29,57.33,57.91,57.91,"1,108,052"
CL=F,"May 21, 2019",62.64,62.78,61.03,61.42,61.42,"766,728"
CL=F,"May 20, 2019",63.28,63.60,62.75,62.99,62.99,"641,680"
CL=F,"May 19, 2019",63.53,63.81,62.45,63.10,63.10,"131,888"
CL=F,"May 16, 2019",63.12,63.64,62.52,62.76,62.76,"215,802"
CL=F,"May 15, 2019",62.12,63.48,62.08,62.87,62.87,"545,679"
CL=F,"May 14, 2019",61.37,62.34,60.85,62.02,62.02,"723,001"
CL=F,"May 13, 2019",60.86,62.11,60.69,61.78,61.78,"751,668"
CL=F,"May 12, 2019",61.65,63.33,60.64,61.04,61.04,"1,003,106"
CL=F,"May 09, 2019",61.64,62.49,61.42,61.66,61.66,"786,494"
CL=F,"May 08, 2019",62.02,62.21,60.92,61.70,61.70,"769,583"
CL=F,"May 07, 2019",61.44,62.37,61.07,62.12,62.12,"791,769"
CL=F,"May 06, 2019",62.17,62.49,60.66,61.40,61.40,"842,810"
CL=F,"May 05, 2019",61.43,62.95,60.04,62.25,62.25,"768,810"
CL=F,"May 02, 2019",61.55,62.52,61.30,61.94,61.94,"646,866"
CL=F,"May 01, 2019",63.61,63.68,60.95,61.81,61.81,"914,661"
CL=F,"Apr 30, 2019",63.40,63.93,62.77,63.60,63.60,"676,872"
CL=F,"Apr 29, 2019",63.58,64.75,63.30,63.91,63.91,"750,494"
CL=F,"Apr 28, 2019",62.95,63.69,62.46,63.50,63.50,"654,076"
CL=F,"Apr 25, 2019",65.13,65.18,62.28,63.30,63.30,"1,000,836"
CL=F,"Apr 24, 2019",65.81,66.28,64.90,65.21,65.21,"603,001"
CL=F,"Apr 23, 2019",66.17,66.43,65.66,65.89,65.89,"678,386"
CL=F,"Apr 22, 2019",65.75,66.60,65.58,66.30,66.30,"700,598"
CL=F,"Apr 21, 2019",64.00,65.92,64.00,65.70,65.70,"763,527"
CL=F,"Apr 17, 2019",63.75,64.16,63.46,64.00,64.00,"148,238"
CL=F,"Apr 16, 2019",64.32,64.61,63.66,63.76,63.76,"235,376"
CL=F,"Apr 15, 2019",63.57,64.37,62.99,64.05,64.05,"547,469"
CL=F,"Apr 14, 2019",63.76,63.84,63.03,63.40,63.40,"555,858"
CL=F,"Apr 11, 2019",63.71,64.65,63.66,63.89,63.89,"625,588"
CL=F,"Apr 10, 2019",64.48,64.49,63.31,63.58,63.58,"760,504"
CL=F,"Apr 09, 2019",64.22,64.70,64.05,64.61,64.61,"722,216"
CL=F,"Apr 08, 2019",64.40,64.79,63.68,63.98,63.98,"790,677"
CL=F,"Apr 07, 2019",63.33,64.48,63.13,64.40,64.40,"895,767"
CL=F,"Apr 04, 2019",62.18,63.34,61.82,63.08,63.08,"686,862"
CL=F,"Apr 03, 2019",62.50,62.77,61.89,62.10,62.10,"684,973"
CL=F,"Apr 02, 2019",62.64,62.99,62.05,62.46,62.46,"799,672"
CL=F,"Apr 01, 2019",61.81,62.75,61.60,62.58,62.58,"793,227"
CL=F,"Mar 31, 2019",60.24,61.80,60.13,61.59,61.59,"670,808"
CL=F,"Mar 28, 2019",59.53,60.73,59.41,60.14,60.14,"705,559"
CL=F,"Mar 27, 2019",59.40,59.56,58.20,59.30,59.30,"712,209"
CL=F,"Mar 26, 2019",60.03,60.22,58.81,59.41,59.41,"732,150"
CL=F,"Mar 25, 2019",59.12,60.38,59.04,59.94,59.94,"685,988"
CL=F,"Mar 24, 2019",58.98,59.35,58.17,58.82,58.82,"705,399"
CL=F,"Mar 21, 2019",59.87,60.07,58.28,59.04,59.04,"738,840"
