date,market_cap,close,%_close,gain/loss
2021-02-24,904133801445.0,49849.0,2.376,1157.0
2021-02-25,929081504354.0,46993.0,-5.729,-2856.0
2021-02-26,875883932252.0,46551.0,-0.941,-442.0
2021-02-27,869070614248.0,46654.0,0.221,103.0
2021-02-28,869649724201.0,44970.0,-3.61,-1684.0
2021-03-01,838307614585.0,49787.0,10.712,4817.0
2021-03-02,928146793676.0,48532.0,-2.521,-1255.0
2021-03-03,905413239165.0,50577.0,4.214,2045.0
2021-03-04,942969910364.0,48727.0,-3.658,-1850.0
2021-03-05,908517236708.0,49092.0,0.749,365.0
2021-03-06,911379300053.0,49019.0,-0.149,-73.0
2021-03-07,916504852500.0,51313.0,4.68,2294.0
2021-03-08,955040794770.0,52329.0,1.98,1016.0
2021-03-09,974195000547.0,54700.0,4.531,2371.0
2021-03-10,1018978819157.0,56020.0,2.413,1320.0
2021-03-11,1044805904678.0,57789.0,3.158,1769.0
2021-03-12,1077836070933.0,57354.0,-0.753,-435.0
2021-03-13,1069776383194.0,61315.0,6.906,3961.0
2021-03-14,1145191373522.0,59429.0,-3.076,-1886.0
2021-03-15,1111684638819.0,55805.0,-6.098,-3624.0
2021-03-16,1049197142852.0,56830.0,1.837,1025.0
2021-03-17,1060221966895.0,59015.0,3.845,2185.0
2021-03-18,1101028543248.0,57922.0,-1.852,-1093.0
2021-03-19,1081065767946.0,58243.0,0.554,321.0
2021-03-20,1086741150607.0,58376.0,0.228,133.0
2021-03-21,1090022321078.0,57574.0,-1.374,-802.0
2021-03-22,1074356788297.0,54370.0,-5.565,-3204.0
2021-03-23,1020641820439.0,54585.0,0.395,215.0
2021-03-24,1017637245492.0,52527.0,-3.77,-2058.0
2021-03-25,982797427007.0,51417.0,-2.113,-1110.0
2021-03-26,959155260367.0,55033.0,7.033,3616.0
2021-03-27,1027209990795.0,55832.0,1.452,799.0
2021-03-28,1042184275333.0,55728.0,-0.186,-104.0
2021-03-29,1039333584621.0,57635.0,3.422,1907.0
2021-03-30,1075942162537.0,58669.0,1.794,1034.0
2021-03-31,1095293012033.0,58817.0,0.252,148.0
2021-04-01,1098127310947.0,58801.0,-0.027,-16.0
2021-04-02,1098583823874.0,59060.0,0.44,259.0
2021-04-03,1103133931137.0,57060.0,-3.386,-2000.0
2021-04-04,1067101827373.0,58229.0,2.049,1169.0
2021-04-05,1087344280110.0,58707.0,0.821,478.0
2021-04-06,1096202611390.0,58062.0,-1.099,-645.0
2021-04-07,1084341670321.0,56134.0,-3.321,-1928.0
2021-04-08,1050759681845.0,58066.0,3.442,1932.0
2021-04-09,1083362883828.0,58153.0,0.15,87.0
2021-04-10,1085794662405.0,59979.0,3.14,1826.0
2021-04-11,1116221525334.0,59988.0,0.015,9.0
2021-04-12,1120606689450.0,59911.0,-0.128,-77.0
2021-04-13,1118532902102.0,63577.0,6.119,3666.0
2021-04-14,1187737045885.0,62807.0,-1.211,-770.0
2021-04-15,1173412921930.0,63180.0,0.594,373.0
2021-04-16,1179561609817.0,61497.0,-2.664,-1683.0
